"filename", "language", "Markdown", "Shell Script", "C++", "Python", "CMake", "JSON", "MS SQL", "YAML", "HTML", "comment", "blank", "total"
"/home/kun/projects/SharePix/.augment/rules/rules.md", "Markdown", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 115
"/home/kun/projects/SharePix/.claude/settings.local.json", "JSON", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 1, 41
"/home/kun/projects/SharePix/CLAUDE.md", "Markdown", 512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 669
"/home/kun/projects/SharePix/backend-service/.augment/rules/rules.md", "Markdown", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 112
"/home/kun/projects/SharePix/backend-service/CMakeLists.txt", "CMake", 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 22, 124
"/home/kun/projects/SharePix/backend-service/PATH_FIX_SUMMARY.md", "Markdown", 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 329
"/home/kun/projects/SharePix/backend-service/README.md", "Markdown", 537, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 645
"/home/kun/projects/SharePix/backend-service/analyze_upload_logs.sh", "Shell Script", 0, 138, 0, 0, 0, 0, 0, 0, 0, 26, 38, 202
"/home/kun/projects/SharePix/backend-service/config/config.cloud.json", "JSON", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 2, 59
"/home/kun/projects/SharePix/backend-service/config/config.example.json", "JSON", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 2, 59
"/home/kun/projects/SharePix/backend-service/config/database.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 132, 0, 0, 30, 30, 192
"/home/kun/projects/SharePix/backend-service/config/migration_add_user_profile_fields.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 5, 15
"/home/kun/projects/SharePix/backend-service/config/migration_fix_images_schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 159, 0, 0, 18, 25, 202
"/home/kun/projects/SharePix/backend-service/config/migration_follows.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 20, 0, 0, 37, 17, 74
"/home/kun/projects/SharePix/backend-service/config/migration_to_posts.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 160, 0, 0, 53, 50, 263
"/home/kun/projects/SharePix/backend-service/config/setup_remote_access.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 5, 0, 0, 7, 7, 19
